002272	American Micro-Fuel Device Corp.
00D0EF	IGT
086195	Rockwell Automation
F4BD9E	Cisco Systems, Inc
5885E9	Realme Chongqing MobileTelecommunications Corp Ltd
BC2392	BYD Precision Manufacture Company Ltd.
405582	Nokia
A4E31B	Nokia
D89790	Commonwealth Scientific and Industrial Research Organisation
883A30	Aruba, a Hewlett Packard Enterprise Company
B8A58D	Axe Group Holdings Limited
50CEE3	Gigafirm.co.LTD
98E743	Dell Inc.
C419D1	Telink Semiconductor (Shanghai) Co., Ltd.
887E25	Extreme Networks, Inc.
086083	zte corporation
E01954	zte corporation
10327E	Huawei Device Co., Ltd.
F8084F	Sagemcom Broadband SAS
30FBB8	HUAWEI TECHNOLOGIES CO.,LTD
F497C2	Nebulon Inc
A44519	Xiaomi Communications Co Ltd
68DBF5	Amazon Technologies Inc.
2446C8	Motorola Mobility LLC, a Lenovo Company
1802AE	vivo Mobile Communication Co., Ltd.
0C20D3	vivo Mobile Communication Co., Ltd.
44D791	HUAWEI TECHNOLOGIES CO.,LTD
8446FE	HUAWEI TECHNOLOGIES CO.,LTD
D82918	HUAWEI TECHNOLOGIES CO.,LTD
D0D003	Samsung Electronics Co.,LTD
64B21D	Chengdu Phycom Tech Co., Ltd.
C42996	Signify B.V.
980637	IEEE Registration Authority
8CB84A	SAMSUNG ELECTRO-MECHANICS(THAILAND)
98E8FA	Nintendo Co.,Ltd
38C4E8	NSS Sp. z o.o.
34DD7E	Umeox Innovations Co.,Ltd
CCCD64	SM-Electronic GmbH
24DFA7	Hangzhou BroadLink Technology Co.,Ltd
B065F1	WIO Manufacturing HK Limited
901234	Shenzhen YOUHUA Technology Co., Ltd
542A1B	Sonos, Inc.
5C925E	Zioncom Electronics (Shenzhen) Ltd.
084FA9	Cisco Systems, Inc
084FF9	Cisco Systems, Inc
5098B8	New H3C Technologies Co., Ltd
1100AA	Private
B84DEE	Hisense broadband multimedia technology Co.,Ltd
A89352	SHANGHAI ZHONGMI COMMUNICATION TECHNOLOGY CO.,LTD
E4CC9D	Integrated Device Technology (Malaysia) Sdn. Bhd.
A8D0E3	Systech Electronics Ltd
98BA39	Doro AB
D46BA6	HUAWEI TECHNOLOGIES CO.,LTD
CC0577	HUAWEI TECHNOLOGIES CO.,LTD
308BB2	Cisco Systems, Inc
E0EB62	Shanghai Hulu Devices Co., Ltd
08688D	New H3C Technologies Co., Ltd
E86F38	CHONGQING FUGUI ELECTRONICS CO.,LTD.
48216C	China Mobile IOT Company Limited
8CBE24	Tashang Semiconductor(Shanghai) Co., Ltd.
08B3AF	vivo Mobile Communication Co., Ltd.
30862D	Arista Network, Inc.
6CE8C6	Earda Technologies co Ltd
1C4176	China Mobile Group Device Co.,Ltd.
608B0E	Apple, Inc.
1871D5	Hazens Automotive Electronics(SZ)Co.,Ltd.
